group_kind,group_name,topology,topology_mode,algorithm_label,aggregation,attack_strategy,byzantine_fraction,byzantine_placement,target_arm,inflated_mean,metric,n,mean,std,sem,ci95_low,ci95_high,min,max,ci_method
primary,clean_dynamic_communication_topologies,small_world,dynamic,mean,mean,no_attack,0.0,none,,1.0,messages_sent,100,200000.0,0.0,0.0,200000.0,200000.0,200000.0,200000.0,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,mean,mean,no_attack,0.0,none,,1.0,scalar_values_sent,100,2000000.0,0.0,0.0,2000000.0,2000000.0,2000000.0,2000000.0,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,median,median,no_attack,0.0,none,,1.0,mean_per_agent_regret,100,294.4434399999968,79.54710080087436,7.954710080087436,278.85249473556775,310.0343852644259,92.9499999999996,476.8639999999944,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,median,median,no_attack,0.0,none,,1.0,total_population_regret,100,7361.085999999919,1988.6775200218592,198.8677520021859,6971.312368389192,7750.859631610647,2323.74999999999,11921.59999999986,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,median,median,no_attack,0.0,none,,1.0,median_honest_regret,100,200.45899999999858,96.77444419625921,9.677444419625921,181.49155747514365,219.4264425248535,5.3,496.05,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,median,median,no_attack,0.0,none,,1.0,worst_decile_honest_regret,100,731.1230999999884,173.0295759660146,17.30295759660146,697.2099262846258,765.0362737153511,253.56999999999763,998.11,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,median,median,no_attack,0.0,none,,1.0,max_honest_regret,100,931.0914999999951,130.77006172355823,13.077006172355823,905.4610388765697,956.7219611234206,399.94999999999436,999.9,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,median,median,no_attack,0.0,none,,1.0,best_arm_identification_rate,100,0.8079999999999999,0.11581943452694549,0.01158194345269455,0.7852998079617391,0.8307001920382607,0.52,1.0,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,median,median,no_attack,0.0,none,,1.0,messages_sent,100,200000.0,0.0,0.0,200000.0,200000.0,200000.0,200000.0,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,median,median,no_attack,0.0,none,,1.0,scalar_values_sent,100,2000000.0,0.0,0.0,2000000.0,2000000.0,2000000.0,2000000.0,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,mean_per_agent_regret,100,247.32639999999776,91.67913011160205,9.167913011160206,229.3576206847276,265.29517931526794,52.719999999999985,490.69000000000005,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,total_population_regret,100,6183.159999999944,2291.978252790051,229.19782527900512,5733.940517118191,6632.379482881698,1317.9999999999995,12267.250000000002,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,median_honest_regret,100,160.7664999999989,113.62824265133254,11.362824265133254,138.49577367767992,183.03722632231788,2.8,497.4000000000001,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,worst_decile_honest_regret,100,595.1211999999905,186.62194485529753,18.662194485529753,558.5439709358702,631.6984290641108,135.37000000000114,995.37,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,max_honest_regret,100,876.4734999999948,170.122004267854,17.0122004267854,843.1301998657185,909.8168001342711,470.25,999.05,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,best_arm_identification_rate,100,0.73,0.150996688705415,0.0150996688705415,0.700405192835258,0.7595948071647419,0.24,0.96,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,messages_sent,100,200000.0,0.0,0.0,200000.0,200000.0,200000.0,200000.0,normal_approximation
primary,clean_dynamic_communication_topologies,small_world,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,scalar_values_sent,100,2000000.0,0.0,0.0,2000000.0,2000000.0,2000000.0,2000000.0,normal_approximation
primary,clean_static_all_topologies,complete,static,centralized_clean_reference,mean,no_attack,0.0,none,,1.0,mean_per_agent_regret,100,14.702499999999992,1.6283686916541946,0.16283686916541945,14.383345601080508,15.021654398919475,10.449999999999994,18.85,normal_approximation
primary,clean_static_all_topologies,complete,static,centralized_clean_reference,mean,no_attack,0.0,none,,1.0,total_population_regret,100,367.5624999999998,40.70921729135487,4.0709217291354864,359.5836400270127,375.54135997298687,261.24999999999983,471.25000000000006,normal_approximation
primary,clean_static_all_topologies,complete,static,centralized_clean_reference,mean,no_attack,0.0,none,,1.0,median_honest_regret,100,14.702499999999993,1.6283686916541946,0.16283686916541945,14.38334560108051,15.021654398919477,10.449999999999994,18.85,normal_approximation
primary,clean_static_all_topologies,complete,static,centralized_clean_reference,mean,no_attack,0.0,none,,1.0,worst_decile_honest_regret,100,14.702499999999993,1.6283686916541946,0.16283686916541945,14.38334560108051,15.021654398919477,10.449999999999994,18.85,normal_approximation
primary,clean_static_all_topologies,complete,static,centralized_clean_reference,mean,no_attack,0.0,none,,1.0,max_honest_regret,100,14.702499999999993,1.6283686916541946,0.16283686916541945,14.38334560108051,15.021654398919477,10.449999999999994,18.85,normal_approximation
primary,clean_static_all_topologies,complete,static,centralized_clean_reference,mean,no_attack,0.0,none,,1.0,best_arm_identification_rate,100,1.0,0.0,0.0,1.0,1.0,1.0,1.0,normal_approximation
primary,clean_static_all_topologies,complete,static,centralized_clean_reference,mean,no_attack,0.0,none,,1.0,messages_sent,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal_approximation
primary,clean_static_all_topologies,complete,static,centralized_clean_reference,mean,no_attack,0.0,none,,1.0,scalar_values_sent,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal_approximation
primary,clean_static_all_topologies,complete,static,independent,mean,no_attack,0.0,none,,1.0,mean_per_agent_regret,100,114.73117999999968,2.6061470937657036,0.2606147093765704,114.22038455578023,115.24197544421914,107.50199999999975,121.18799999999978,normal_approximation
primary,clean_static_all_topologies,complete,static,independent,mean,no_attack,0.0,none,,1.0,total_population_regret,100,2868.279499999992,65.15367734414257,6.515367734414257,2855.5096138945055,2881.0493861054783,2687.549999999994,3029.6999999999944,normal_approximation
primary,clean_static_all_topologies,complete,static,independent,mean,no_attack,0.0,none,,1.0,median_honest_regret,100,114.50399999999965,3.301122245662579,0.3301122245662579,113.85699192899338,115.15100807100592,106.6999999999995,123.14999999999942,normal_approximation
primary,clean_static_all_topologies,complete,static,independent,mean,no_attack,0.0,none,,1.0,worst_decile_honest_regret,100,131.38469999999953,4.253231084312843,0.42532310843128435,130.55108202568158,132.21831797431747,119.71999999999974,141.51999999999876,normal_approximation
primary,clean_static_all_topologies,complete,static,independent,mean,no_attack,0.0,none,,1.0,max_honest_regret,100,142.21849999999952,7.038647478978717,0.7038647478978717,140.83895044413234,143.5980495558667,130.59999999999928,169.64999999999984,normal_approximation
primary,clean_static_all_topologies,complete,static,independent,mean,no_attack,0.0,none,,1.0,best_arm_identification_rate,100,1.0,0.0,0.0,1.0,1.0,1.0,1.0,normal_approximation
primary,clean_static_all_topologies,complete,static,independent,mean,no_attack,0.0,none,,1.0,messages_sent,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal_approximation
primary,clean_static_all_topologies,complete,static,independent,mean,no_attack,0.0,none,,1.0,scalar_values_sent,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal_approximation
primary,clean_static_all_topologies,complete,static,mean,mean,no_attack,0.0,none,,1.0,mean_per_agent_regret,100,10.876979999999994,1.418123201184357,0.1418123201184357,10.599032960003795,11.154927039996194,7.917999999999998,15.003999999999992,normal_approximation
primary,clean_static_all_topologies,complete,static,mean,mean,no_attack,0.0,none,,1.0,total_population_regret,100,271.92449999999985,35.45308002960893,3.5453080029608928,264.97582400009486,278.87317599990484,197.94999999999996,375.0999999999998,normal_approximation
primary,clean_static_all_topologies,complete,static,mean,mean,no_attack,0.0,none,,1.0,median_honest_regret,100,10.861999999999993,1.4181564359292917,0.14181564359292917,10.584046446113483,11.139953553886503,7.949999999999998,14.999999999999991,normal_approximation
primary,clean_static_all_topologies,complete,static,mean,mean,no_attack,0.0,none,,1.0,worst_decile_honest_regret,100,11.208799999999995,1.4224593015782416,0.14224593015782416,10.93000309994326,11.48759690005673,8.25,15.35999999999999,normal_approximation
primary,clean_static_all_topologies,complete,static,mean,mean,no_attack,0.0,none,,1.0,max_honest_regret,100,11.351999999999993,1.4361656301317447,0.14361656301317446,11.070516708910745,11.633483291089242,8.45,15.39999999999999,normal_approximation
primary,clean_static_all_topologies,complete,static,mean,mean,no_attack,0.0,none,,1.0,best_arm_identification_rate,100,1.0,0.0,0.0,1.0,1.0,1.0,1.0,normal_approximation
primary,clean_static_all_topologies,complete,static,mean,mean,no_attack,0.0,none,,1.0,messages_sent,100,1200000.0,0.0,0.0,1200000.0,1200000.0,1200000.0,1200000.0,normal_approximation
primary,clean_static_all_topologies,complete,static,mean,mean,no_attack,0.0,none,,1.0,scalar_values_sent,100,12000000.0,0.0,0.0,12000000.0,12000000.0,12000000.0,12000000.0,normal_approximation
primary,clean_static_all_topologies,complete,static,median,median,no_attack,0.0,none,,1.0,mean_per_agent_regret,100,14.433279999999568,48.031465374919186,4.8031465374919184,5.019285774047143,23.847274225951992,0.706,202.54199999999275,normal_approximation
primary,clean_static_all_topologies,complete,static,median,median,no_attack,0.0,none,,1.0,total_population_regret,100,360.8319999999892,1200.7866343729795,120.07866343729795,125.48214435117862,596.1818556487998,17.65,5063.549999999819,normal_approximation
primary,clean_static_all_topologies,complete,static,median,median,no_attack,0.0,none,,1.0,median_honest_regret,100,14.410499999999569,48.03161695196239,4.8031616951962395,4.996476065492587,23.82452393450655,0.75,202.4499999999928,normal_approximation
primary,clean_static_all_topologies,complete,static,median,median,no_attack,0.0,none,,1.0,worst_decile_honest_regret,100,14.716499999999568,48.02621309443164,4.802621309443164,5.303535202106373,24.129464797892766,0.8800000000000001,202.84999999999278,normal_approximation
primary,clean_static_all_topologies,complete,static,median,median,no_attack,0.0,none,,1.0,max_honest_regret,100,14.816499999999566,48.032368113762615,4.803236811376261,5.402328840485085,24.230671159514046,1.1,202.89999999999276,normal_approximation
primary,clean_static_all_topologies,complete,static,median,median,no_attack,0.0,none,,1.0,best_arm_identification_rate,100,0.94,0.23868325657594203,0.023868325657594204,0.893218941339842,0.9867810586601579,0.0,1.0,normal_approximation
primary,clean_static_all_topologies,complete,static,median,median,no_attack,0.0,none,,1.0,messages_sent,100,1200000.0,0.0,0.0,1200000.0,1200000.0,1200000.0,1200000.0,normal_approximation
primary,clean_static_all_topologies,complete,static,median,median,no_attack,0.0,none,,1.0,scalar_values_sent,100,12000000.0,0.0,0.0,12000000.0,12000000.0,12000000.0,12000000.0,normal_approximation
primary,clean_static_all_topologies,complete,static,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,mean_per_agent_regret,100,11.420539999999644,43.65930246193695,4.365930246193695,2.86347395844591,19.97760604155338,0.7239999999999999,200.83999999999287,normal_approximation
primary,clean_static_all_topologies,complete,static,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,total_population_regret,100,285.5134999999911,1091.4825615484237,109.14825615484237,71.58684896114775,499.4401510388344,18.099999999999998,5020.999999999822,normal_approximation
primary,clean_static_all_topologies,complete,static,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,median_honest_regret,100,11.393499999999644,43.660995268410296,4.36609952684103,2.8361021744738544,19.950897825525434,0.7,200.94999999999285,normal_approximation
primary,clean_static_all_topologies,complete,static,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,worst_decile_honest_regret,100,11.689399999999644,43.65959107189988,4.365959107189989,3.1322773919326163,20.24652260806667,0.9600000000000002,201.14999999999284,normal_approximation
primary,clean_static_all_topologies,complete,static,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,max_honest_regret,100,11.732499999999643,43.65892388848897,4.365892388848897,3.175508157478264,20.289491842521024,1.1,201.14999999999284,normal_approximation
primary,clean_static_all_topologies,complete,static,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,best_arm_identification_rate,100,0.95,0.2190429135575903,0.021904291355759033,0.9070683778358403,0.9929316221641596,0.0,1.0,normal_approximation
primary,clean_static_all_topologies,complete,static,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,messages_sent,100,1200000.0,0.0,0.0,1200000.0,1200000.0,1200000.0,1200000.0,normal_approximation
primary,clean_static_all_topologies,complete,static,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,scalar_values_sent,100,12000000.0,0.0,0.0,12000000.0,12000000.0,12000000.0,12000000.0,normal_approximation
